# Time 	 GP Component 	 Full model (GP + Keplerian) 	 model1down 	 model1up 	 model2down 	 model2up 	 model3down 	 model3up
2458897.3868217976 	 0.0000000000 	 -22.1159062182 	 -23.9591672170 	 -20.3338531246 	 -26.1010006055 	 -18.3140384175 	 -27.4653667253 	 -16.5875661751
2458897.5920270029 	 0.0000000000 	 -21.9788006694 	 -23.9661325173 	 -19.8672117692 	 -26.0984692038 	 -17.5561756594 	 -27.6531387618 	 -15.8990680322
2458897.7972322078 	 0.0000000000 	 -19.4524102511 	 -21.9520464458 	 -16.7830295991 	 -24.4628067495 	 -13.7664387055 	 -26.2150603138 	 -11.8705310562
2458898.0024374132 	 0.0000000000 	 -14.8678437378 	 -17.7709620409 	 -11.8402261138 	 -20.8190125834 	 -8.5464744768 	 -22.9851378420 	 -6.4426210161
2458898.2076426186 	 0.0000000000 	 -8.8345933217 	 -11.9868582421 	 -5.6312979293 	 -15.3739157883 	 -2.1454587774 	 -18.0122309038 	 0.0724740786
2458898.4128478235 	 0.0000000000 	 -1.8819661327 	 -5.1037930115 	 1.4182428299 	 -8.6564578427 	 4.8155434684 	 -11.2159484244 	 7.4135612652
2458898.6180530288 	 0.0000000000 	 5.4190219862 	 2.1942605292 	 8.6913811156 	 -1.2896103485 	 11.9926495731 	 -3.9168113838 	 14.5965163548
2458898.8232582342 	 0.0000000000 	 12.3863605801 	 9.2345186143 	 15.5295307400 	 5.8239714064 	 18.7623302838 	 3.4271692809 	 20.8802299100
2458899.0284634391 	 0.0000000000 	 18.2288395540 	 15.3069930690 	 21.0815405590 	 12.1276427351 	 24.0983398823 	 9.9649561253 	 26.1336374289
2458899.2336686444 	 0.0000000000 	 22.1731996161 	 19.6880027623 	 24.6128789516 	 16.9358011146 	 27.3657353521 	 14.9309649217 	 29.2865147862
2458899.4388738498 	 0.0000000000 	 23.4536854951 	 21.4159170268 	 25.5753750162 	 19.2265665947 	 28.0483508927 	 17.7605850659 	 29.6722282972
2458899.6440790547 	 0.0000000000 	 21.8632384631 	 19.5702064587 	 24.0037445265 	 16.7062441656 	 26.2895955481 	 14.6749215121 	 27.9787843622
